date,price
2019-01-01,592200
2019-02-01,595500
2019-03-01,600000
2019-04-01,604500
2019-05-01,607800
2019-06-01,609000
2019-07-01,607800
2019-08-01,608700
2019-09-01,608300
2019-10-01,607900
2019-11-01,608700
2019-12-01,611500
2020-01-01,616900
2020-02-01,624400
2020-03-01,633300
2020-04-01,642300
2020-05-01,650000
2020-06-01,655500
2020-07-01,658400
2020-08-01,661600
2020-09-01,663300
2020-10-01,665000
2020-11-01,667900
2020-12-01,673100
2021-01-01,681000
2021-02-01,691400
2021-03-01,703300
2021-04-01,715300
2021-05-01,726000
2021-06-01,734200
2021-07-01,739500
2021-08-01,744800
2021-09-01,748500
2021-10-01,752100
2021-11-01,757100
2021-12-01,764700
2022-01-01,775400
2022-02-01,788900
2022-03-01,804200
2022-04-01,819600
2022-05-01,833400
2022-06-01,844500
2022-07-01,837400
2022-08-01,827400
2022-09-01,815800
2022-10-01,804400
2022-11-01,794600
2022-12-01,787700
2023-01-01,784000
2023-02-01,783000
2023-03-01,783500
2023-04-01,784000
2023-05-01,782800
2023-06-01,778900
2023-07-01,771900
2023-08-01,770900
2023-09-01,768300
2023-10-01,765700
2023-11-01,764600
2023-12-01,766200
2024-01-01,770900
2024-02-01,778300
2024-03-01,787300
2024-04-01,796400
2024-05-01,804000
2024-06-01,808800
2024-07-01,810400
2024-08-01,806000
2024-09-01,800000
2024-10-01,794000
2024-11-01,789600
2024-12-01,788000
